category,system,F1,BLEU,ROUGE1,ROUGEL,BERT-F1
guided,AGRAG,0.14,3.82,0.17,0.13,0.83
guided,GRAG,0.26,6.41,0.3,0.22,0.85
guided,HRAG,0.34,13.48,0.45,0.34,0.87
guided,RAG,0.39,15.83,0.46,0.35,0.88
multi_hop,AGRAG,0.39,10.7,0.49,0.44,0.89
multi_hop,GRAG,0.09,3.33,0.14,0.13,0.8
multi_hop,HRAG,0.59,13.41,0.73,0.67,0.94
multi_hop,RAG,0.03,1.59,0.07,0.07,0.81
simple,AGRAG,0.82,24.32,0.85,0.85,0.97
simple,GRAG,0.06,4.73,0.18,0.18,0.8
simple,HRAG,0.9,24.17,0.91,0.91,0.97
simple,RAG,0.05,2.37,0.11,0.11,0.81
single_hop,AGRAG,0.63,11.9,0.74,0.72,0.94
single_hop,GRAG,0.07,4.39,0.18,0.17,0.79
single_hop,HRAG,0.69,12.56,0.78,0.75,0.93
single_hop,RAG,0.07,4.08,0.15,0.15,0.82
unanswerable,AGRAG,0.0,0.0,0.0,0.0,0.0
unanswerable,GRAG,0.0,0.0,0.0,0.0,0.0
unanswerable,HRAG,0.0,0.0,0.0,0.0,0.0
unanswerable,RAG,0.0,0.0,0.0,0.0,0.0
