category,system,F1,BLEU,ROUGE1,ROUGEL,BERT-F1
guided,AGRAG,0.31,7.21,0.42,0.32,0.88
guided,GRAG,0.17,4.87,0.25,0.19,0.84
guided,HRAG,0.28,10.6,0.43,0.37,0.83
guided,RAG,0.4,11.45,0.47,0.36,0.89
multi_hop,AGRAG,0.19,11.52,0.42,0.34,0.72
multi_hop,GRAG,0.03,5.59,0.24,0.22,0.83
multi_hop,HRAG,0.43,8.24,0.56,0.51,0.93
multi_hop,RAG,0.01,1.02,0.04,0.04,0.8
simple,AGRAG,0.89,34.74,0.89,0.89,0.93
simple,GRAG,0.05,5.1,0.24,0.24,0.82
simple,HRAG,0.76,28.39,0.8,0.8,0.9
simple,RAG,0.06,2.85,0.15,0.15,0.81
single_hop,AGRAG,0.47,13.12,0.65,0.6,0.92
single_hop,GRAG,0.06,4.25,0.24,0.21,0.82
single_hop,HRAG,0.68,17.1,0.85,0.78,0.96
single_hop,RAG,0.06,3.97,0.12,0.12,0.81
unanswerable,AGRAG,0.0,0.0,0.0,0.0,0.0
unanswerable,GRAG,0.0,0.0,0.0,0.0,0.0
unanswerable,HRAG,0.0,0.0,0.0,0.0,0.0
unanswerable,RAG,0.0,0.0,0.0,0.0,0.0
